id,level,word,pinyin,cixing,sourceSort
hsk6_0001,HSK 6,岸,àn,名,3601
hsk6_0002,HSK 6,案例,ànlì,名,3602
hsk6_0003,HSK 6,按摩,ànmó,动,3603
hsk6_0004,HSK 6,暗示,ànshì,动,3604
hsk6_0005,HSK 6,昂贵,ángguì,形,3605
hsk6_0006,HSK 6,白白,báibái,副,3606
hsk6_0007,HSK 6,白领,báilǐng,名,3607
hsk6_0008,HSK 6,摆,bǎi,动,3608
hsk6_0009,HSK 6,摆放,bǎifàng,动,3609
hsk6_0010,HSK 6,百分点,bǎifēndiǎn,名,3610
hsk6_0011,HSK 6,百货,bǎihuò,名,3611
hsk6_0012,HSK 6,摆脱,bǎituō,动,3612
hsk6_0013,HSK 6,败,bài,动,3613
hsk6_0014,HSK 6,拜访,bàifǎng,动,3614
hsk6_0015,HSK 6,拜年,bàinián,动,3615
hsk6_0016,HSK 6,版,bǎn,名、量,3616
hsk6_0017,HSK 6,版本,bǎnběn,名,3617
hsk6_0018,HSK 6,伴随,bànsuí,动,3618
hsk6_0019,HSK 6,扮演,bànyǎn,动,3619
hsk6_0020,HSK 6,榜样,bǎngyàng,名,3620
hsk6_0021,HSK 6,棒球,bàngqiú,名,3621
hsk6_0022,HSK 6,保管,bǎoguǎn,动,3622
hsk6_0023,HSK 6,保健,bǎojiàn,动,3623
hsk6_0024,HSK 6,保暖,bǎonuǎn,动,3624
hsk6_0025,HSK 6,保修,bǎoxiū,动,3625
hsk6_0026,HSK 6,保障,bǎozhàng,动、名,3626
hsk6_0027,HSK 6,爆,bào,动,3627
hsk6_0028,HSK 6,爆发,bàofā,动,3628
hsk6_0029,HSK 6,报刊,bàokān,名,3629
hsk6_0030,HSK 6,暴力,bàolì,名,3630
hsk6_0031,HSK 6,暴露,bàolù,动,3631
hsk6_0032,HSK 6,报社,bàoshè,名,3632
hsk6_0033,HSK 6,爆炸,bàozhà,动,3633
hsk6_0034,HSK 6,悲观,bēiguān,形,3634
hsk6_0035,HSK 6,悲剧,bēijù,名,3635
hsk6_0036,HSK 6,悲伤,bēishāng,形,3636
hsk6_0037,HSK 6,北极,běijí,名,3637
hsk6_0038,HSK 6,北美洲,Běiměizhōu,名,3638
hsk6_0039,HSK 6,被动,bèidòng,形,3639
hsk6_0040,HSK 6,被迫,bèipò,动,3640
hsk6_0041,HSK 6,背心,bèixīn,名,3641
hsk6_0042,HSK 6,备用,bèiyòng,动,3642
hsk6_0043,HSK 6,倍增,bèizēng,动,3643
hsk6_0044,HSK 6,奔跑,bēnpǎo,动,3644
hsk6_0045,HSK 6,本能,běnnéng,名、副,3645
hsk6_0046,HSK 6,本身,běnshēn,代,3646
hsk6_0047,HSK 6,本土,běntǔ,名,3647
hsk6_0048,HSK 6,逼,bī,动,3648
hsk6_0049,HSK 6,比方,bǐfang,动,3649
hsk6_0050,HSK 6,比重,bǐzhòng,名,3650
hsk6_0051,HSK 6,闭,bì,动,3651
hsk6_0052,HSK 6,避,bì,动,3652
hsk6_0053,HSK 6,必修,bìxiū,形,3653
hsk6_0054,HSK 6,编,biān,动,3654
hsk6_0055,HSK 6,编辑,biānjí,动、名,3655
hsk6_0056,HSK 6,编写,biānxiě,动,3656
hsk6_0057,HSK 6,遍地,biàndì,动、副,3657
hsk6_0058,HSK 6,便捷,biànjié,形,3658
hsk6_0059,HSK 6,变质,biànzhì,动,3659
hsk6_0060,HSK 6,兵,bīng,名,3660
hsk6_0061,HSK 6,病毒,bìngdú,名,3661
hsk6_0062,HSK 6,播,bō,动,3662
hsk6_0063,HSK 6,播种,bōzhǒng,动,3663
hsk6_0064,HSK 6,博览会,bólǎnhuì,名,3664
hsk6_0065,HSK 6,薄弱,bóruò,形,3665
hsk6_0066,HSK 6,脖子,bózi,名,3666
hsk6_0067,HSK 6,不耐烦,bú nàifán,,3667
hsk6_0068,HSK 6,不顾,búgù,动,3668
hsk6_0069,HSK 6,不料,búliào,连,3669
hsk6_0070,HSK 6,不适,búshì,形,3670
hsk6_0071,HSK 6,不至于,búzhìyú,动,3671
hsk6_0072,HSK 6,补,bǔ,动,3672
hsk6_0073,HSK 6,捕,bǔ,动,3673
hsk6_0074,HSK 6,补偿,bǔcháng,动,3674
hsk6_0075,HSK 6,补课,bǔkè,动,3675
hsk6_0076,HSK 6,补贴,bǔtiē,动、名,3676
hsk6_0077,HSK 6,补习,bǔxí,动,3677
hsk6_0078,HSK 6,布,bù,名,3678
hsk6_0079,HSK 6,不安,bù’ān,形,3679
hsk6_0080,HSK 6,不曾,bùcéng,副,3680
hsk6_0081,HSK 6,不成,bùchéng,动、形、助,3681
hsk6_0082,HSK 6,不得,bùdé,动,3682
hsk6_0083,HSK 6,部队,bùduì,名,3683
hsk6_0084,HSK 6,不禁,bùjīn,副,3684
hsk6_0085,HSK 6,不时,bùshí,副、名,3685
hsk6_0086,HSK 6,部位,bùwèi,名,3686
hsk6_0087,HSK 6,不许,bùxǔ,动,3687
hsk6_0088,HSK 6,不宜,bùyí,动,3688
hsk6_0089,HSK 6,不已,bùyǐ,动,3689
hsk6_0090,HSK 6,布置,bùzhì,动,3690
hsk6_0091,HSK 6,不止,bùzhǐ,动、副,3691
hsk6_0092,HSK 6,步骤,bùzhòu,名,3692
hsk6_0093,HSK 6,猜测,cāicè,动,3693
hsk6_0094,HSK 6,财产,cáichǎn,名,3694
hsk6_0095,HSK 6,财富,cáifù,名,3695
hsk6_0096,HSK 6,才华,cáihuá,名,3696
hsk6_0097,HSK 6,才能,cáinéng,名,3697
hsk6_0098,HSK 6,财务,cáiwù,名,3698
hsk6_0099,HSK 6,财物,cáiwù,名,3699
hsk6_0100,HSK 6,材质,cáizhì,名,3700
hsk6_0101,HSK 6,踩,cǎi,动,3701
hsk6_0102,HSK 6,采购,cǎigòu,动、名,3702
hsk6_0103,HSK 6,彩虹,cǎihóng,名,3703
hsk6_0104,HSK 6,采集,cǎijí,动,3704
hsk6_0105,HSK 6,采纳,cǎinà,动,3705
hsk6_0106,HSK 6,彩票,cǎipiào,名,3706
hsk6_0107,HSK 6,参展,cānzhǎn,动,3707
hsk6_0108,HSK 6,残疾,cánjí,名,3708
hsk6_0109,HSK 6,仓库,cāngkù,名,3709
